dimension,group,feature,n,mean,median,p25,p75,p90,p95
answerability,all,top1_score,112,0.429989,0.295369,0.129341,0.737097,0.958506,0.961819
answerability,all,top1_top2_margin,112,0.213091,0.124983,0.031904,0.305715,0.569807,0.722735
answerability,all,mean_top3_score,112,0.260672,0.166335,0.055395,0.390293,0.655407,0.781436
answerability,all,distinct_source_count_top5,112,2.839286,3.0,2,4,4,5
answerability,all,dense_sparse_agreement,0,,,,,,
answerability,all,authorized_candidate_count,112,14.107143,15.0,13,17,18,19
answerability,ambiguous,top1_score,6,0.145183,0.09199,0.061108,0.294331,0.294331,0.309616
answerability,ambiguous,top1_top2_margin,6,0.049587,0.009798,0.00396,0.080062,0.080062,0.193727
answerability,ambiguous,mean_top3_score,6,0.093775,0.061439,0.028811,0.162976,0.162976,0.231528
answerability,ambiguous,distinct_source_count_top5,6,2.666667,2.0,2,4,4,4
answerability,ambiguous,dense_sparse_agreement,0,,,,,,
answerability,ambiguous,authorized_candidate_count,6,11.833333,12.5,8,15,15,16
answerability,answerable,top1_score,83,0.518903,0.553755,0.201661,0.882811,0.960317,0.979451
answerability,answerable,top1_top2_margin,83,0.240538,0.140009,0.034094,0.383095,0.57692,0.876483
answerability,answerable,mean_top3_score,83,0.324317,0.305827,0.104847,0.470324,0.702757,0.842511
answerability,answerable,distinct_source_count_top5,83,2.963855,3,2,4,4,5
answerability,answerable,dense_sparse_agreement,0,,,,,,
answerability,answerable,authorized_candidate_count,83,14.048193,15,12,17,19,19
answerability,unanswerable,top1_score,23,0.183422,0.129341,0.081703,0.182307,0.514862,0.626332
answerability,unanswerable,top1_top2_margin,23,0.156695,0.099632,0.047116,0.144323,0.420361,0.591287
answerability,unanswerable,mean_top3_score,23,0.074534,0.047012,0.028648,0.083202,0.221387,0.224647
answerability,unanswerable,distinct_source_count_top5,23,2.434783,2,2,3,4,4
answerability,unanswerable,dense_sparse_agreement,0,,,,,,
answerability,unanswerable,authorized_candidate_count,23,14.913043,15,14,16,18,18
category,acl_negative,top1_score,8,0.351157,0.280917,0.178566,0.514862,0.626332,0.707392
category,acl_negative,top1_top2_margin,8,0.285793,0.220269,0.130073,0.420361,0.591287,0.650983
category,acl_negative,mean_top3_score,8,0.149615,0.130725,0.088139,0.221387,0.224647,0.262703
category,acl_negative,distinct_source_count_top5,8,2.75,3.0,2,4,4,4
category,acl_negative,dense_sparse_agreement,0,,,,,,
category,acl_negative,authorized_candidate_count,8,14.75,15.0,14,15,15,16
category,ambiguous,top1_score,6,0.145183,0.09199,0.061108,0.294331,0.294331,0.309616
category,ambiguous,top1_top2_margin,6,0.049587,0.009798,0.00396,0.080062,0.080062,0.193727
category,ambiguous,mean_top3_score,6,0.093775,0.061439,0.028811,0.162976,0.162976,0.231528
category,ambiguous,distinct_source_count_top5,6,2.666667,2.0,2,4,4,4
category,ambiguous,dense_sparse_agreement,0,,,,,,
category,ambiguous,authorized_candidate_count,6,11.833333,12.5,8,15,15,16
category,cross_lingual,top1_score,20,0.372372,0.344403,0.159553,0.600943,0.737097,0.80547
category,cross_lingual,top1_top2_margin,20,0.126021,0.070213,0.026699,0.140009,0.275516,0.331405
category,cross_lingual,mean_top3_score,20,0.262754,0.222777,0.061758,0.378679,0.473898,0.702757
category,cross_lingual,distinct_source_count_top5,20,3.25,3.5,2,4,4,4
