dimension,group,feature,n,mean,median,p25,p75,p90,p95
answerability,all,top1_score,200,0.449956,0.397149,0.060759,0.861358,0.965052,0.975811
answerability,all,top1_top2_margin,200,0.164887,0.085279,0.013555,0.243908,0.437648,0.663407
answerability,all,mean_top3_score,200,0.306397,0.216191,0.031789,0.509822,0.815382,0.866851
answerability,all,distinct_source_count_top5,200,3.125,3.0,2,4,4,5
answerability,all,dense_sparse_agreement,0,,,,,,
answerability,all,authorized_candidate_count,200,20,20.0,20,20,20,20
answerability,ambiguous,top1_score,12,0.253775,0.068211,0.044381,0.334467,0.760237,0.760237
answerability,ambiguous,top1_top2_margin,12,0.114671,0.032932,0.00667,0.161765,0.25366,0.25366
answerability,ambiguous,mean_top3_score,12,0.153324,0.043153,0.022448,0.142045,0.344874,0.344874
answerability,ambiguous,distinct_source_count_top5,12,3.666667,4.0,3,4,5,5
answerability,ambiguous,dense_sparse_agreement,0,,,,,,
answerability,ambiguous,authorized_candidate_count,12,20,20.0,20,20,20,20
answerability,answerable,top1_score,150,0.56645,0.601919,0.197638,0.918933,0.969015,0.981219
answerability,answerable,top1_top2_margin,150,0.205037,0.126917,0.049404,0.304255,0.505018,0.733208
answerability,answerable,mean_top3_score,150,0.38773,0.333044,0.13013,0.652713,0.848458,0.874805
answerability,answerable,distinct_source_count_top5,150,3.066667,3.0,2,4,4,5
answerability,answerable,dense_sparse_agreement,0,,,,,,
answerability,answerable,authorized_candidate_count,150,20,20.0,20,20,20,20
answerability,unanswerable,top1_score,38,0.052064,0.021606,0.011171,0.032132,0.133938,0.210783
answerability,unanswerable,top1_top2_margin,38,0.022258,0.006092,0.001471,0.016578,0.029903,0.118946
answerability,unanswerable,mean_top3_score,38,0.033683,0.013918,0.007254,0.022591,0.090221,0.128852
answerability,unanswerable,distinct_source_count_top5,38,3.184211,3.0,3,4,4,4
answerability,unanswerable,dense_sparse_agreement,0,,,,,,
answerability,unanswerable,authorized_candidate_count,38,20,20.0,20,20,20,20
category,acl_negative,top1_score,8,0.185657,0.151245,0.078651,0.210783,0.244049,0.512337
category,acl_negative,top1_top2_margin,8,0.081151,0.061404,0.008194,0.118946,0.146177,0.241748
category,acl_negative,mean_top3_score,8,0.11921,0.105888,0.062645,0.128852,0.143303,0.303154
category,acl_negative,distinct_source_count_top5,8,2.625,3.0,2,3,3,3
category,acl_negative,dense_sparse_agreement,0,,,,,,
category,acl_negative,authorized_candidate_count,8,20,20.0,20,20,20,20
category,ambiguous,top1_score,12,0.253775,0.068211,0.044381,0.334467,0.760237,0.760237
