dimension,group,feature,n,mean,median,p25,p75,p90,p95
answerability,all,top1_score,25,0.353799,0.169419,0.064788,0.512337,0.984785,0.986681
answerability,all,top1_top2_margin,25,0.117348,0.092905,0.008194,0.161765,0.253661,0.349703
answerability,all,mean_top3_score,25,0.245591,0.128852,0.043199,0.303154,0.756305,0.851941
answerability,all,distinct_source_count_top5,25,3.24,3,3,4,4,5
answerability,all,dense_sparse_agreement,0,,,,,,
answerability,all,authorized_candidate_count,25,13.28,13,12,16,17,19
answerability,ambiguous,top1_score,12,0.253775,0.068211,0.044381,0.334467,0.760237,0.760237
answerability,ambiguous,top1_top2_margin,12,0.115429,0.03748,0.00667,0.161765,0.253661,0.253661
answerability,ambiguous,mean_top3_score,12,0.15242,0.040297,0.022448,0.138685,0.344874,0.344874
answerability,ambiguous,distinct_source_count_top5,12,3.25,3.0,3,4,4,4
answerability,ambiguous,dense_sparse_agreement,0,,,,,,
answerability,ambiguous,authorized_candidate_count,12,12.333333,13.0,9,16,17,17
answerability,answerable,top1_score,5,0.862884,0.962214,0.956983,0.984785,0.99004,0.99004
answerability,answerable,top1_top2_margin,5,0.179866,0.147744,0.128378,0.172438,0.349703,0.349703
answerability,answerable,mean_top3_score,5,0.673625,0.723947,0.66822,0.851941,0.891179,0.891179
answerability,answerable,distinct_source_count_top5,5,4.2,4,4,4,5,5
answerability,answerable,dense_sparse_agreement,0,,,,,,
answerability,answerable,authorized_candidate_count,5,17,17,16,17,20,20
answerability,unanswerable,top1_score,8,0.185657,0.151245,0.078651,0.210783,0.244049,0.512337
answerability,unanswerable,top1_top2_margin,8,0.081151,0.061404,0.008194,0.118946,0.146177,0.241748
answerability,unanswerable,mean_top3_score,8,0.117825,0.105888,0.062645,0.128852,0.132226,0.303154
answerability,unanswerable,distinct_source_count_top5,8,2.625,3.0,2,3,3,3
answerability,unanswerable,dense_sparse_agreement,0,,,,,,
answerability,unanswerable,authorized_candidate_count,8,12.375,12.5,12,13,13,14
category,acl_negative,top1_score,8,0.185657,0.151245,0.078651,0.210783,0.244049,0.512337
category,acl_negative,top1_top2_margin,8,0.081151,0.061404,0.008194,0.118946,0.146177,0.241748
category,acl_negative,mean_top3_score,8,0.117825,0.105888,0.062645,0.128852,0.132226,0.303154
category,acl_negative,distinct_source_count_top5,8,2.625,3.0,2,3,3,3
category,acl_negative,dense_sparse_agreement,0,,,,,,
category,acl_negative,authorized_candidate_count,8,12.375,12.5,12,13,13,14
category,ambiguous,top1_score,12,0.253775,0.068211,0.044381,0.334467,0.760237,0.760237
category,ambiguous,top1_top2_margin,12,0.115429,0.03748,0.00667,0.161765,0.253661,0.253661
category,ambiguous,mean_top3_score,12,0.15242,0.040297,0.022448,0.138685,0.344874,0.344874
category,ambiguous,distinct_source_count_top5,12,3.25,3.0,3,4,4,4
category,ambiguous,dense_sparse_agreement,0,,,,,,
category,ambiguous,authorized_candidate_count,12,12.333333,13.0,9,16,17,17
category,cross_lingual,top1_score,5,0.862884,0.962214,0.956983,0.984785,0.99004,0.99004
category,cross_lingual,top1_top2_margin,5,0.179866,0.147744,0.128378,0.172438,0.349703,0.349703
category,cross_lingual,mean_top3_score,5,0.673625,0.723947,0.66822,0.851941,0.891179,0.891179
category,cross_lingual,distinct_source_count_top5,5,4.2,4,4,4,5,5
category,cross_lingual,dense_sparse_agreement,0,,,,,,
category,cross_lingual,authorized_candidate_count,5,17,17,16,17,20,20
