split,label_space,group,feature,n,mean,std,min,p10,p25,median,p75,p90,p95,max
development,binary,ANSWER,authorized_candidate_count,150,20.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
development,binary,ANSWER,reranked_count,150,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
development,binary,ANSWER,top1_score,150,0.56645,0.34804,0.001436,0.06038,0.201096,0.601919,0.918894,0.969032,0.980406,0.993406
development,binary,ANSWER,top2_score,150,0.361413,0.320294,7.5e-05,0.02312,0.079295,0.25293,0.65425,0.854835,0.908875,0.974864
development,binary,ANSWER,top3_score,150,0.235328,0.282808,5.9e-05,0.00641,0.021752,0.08524,0.374879,0.745107,0.824242,0.948281
development,binary,ANSWER,top1_top2_margin,150,0.205037,0.21352,1e-05,0.006707,0.049432,0.126917,0.300638,0.508652,0.722792,0.874807
development,binary,ANSWER,top1_top3_margin,150,0.331122,0.27134,0.000615,0.037621,0.101666,0.271911,0.537015,0.745844,0.831758,0.923177
development,binary,ANSWER,mean_top3_score,150,0.38773,0.291973,0.001057,0.031731,0.130647,0.333044,0.651079,0.848806,0.874578,0.954148
development,binary,ANSWER,mean_top5_score,150,0.275215,0.225177,0.000841,0.022394,0.084653,0.225768,0.441704,0.621271,0.676966,0.85357
development,binary,ANSWER,min_top5_score,150,0.085637,0.157767,5.1e-05,0.001445,0.003805,0.018158,0.071896,0.250401,0.462123,0.757174
development,binary,ANSWER,max_top5_score,150,0.56645,0.34804,0.001436,0.06038,0.201096,0.601919,0.918894,0.969032,0.980406,0.993406
development,binary,ANSWER,std_top5_score,150,0.188968,0.129031,0.000352,0.020822,0.067103,0.167905,0.320054,0.361181,0.380401,0.460541
development,binary,ANSWER,distinct_source_count_top5,150,3.066667,1.056199,1.0,2.0,2.0,3.0,4.0,4.1,5.0,5.0
development,binary,ANSWER,distinct_document_count_top5,150,3.066667,1.056199,1.0,2.0,2.0,3.0,4.0,4.1,5.0,5.0
development,binary,ANSWER,duplicate_source_chunk_count_top5,150,1.933333,1.056199,0.0,0.9,1.0,2.0,3.0,3.0,3.0,4.0
development,binary,ANSWER,source_score_concentration,150,0.496741,0.175809,0.217362,0.299143,0.345654,0.484823,0.605799,0.740405,0.800519,0.999715
development,binary,ABSTAIN,authorized_candidate_count,50,20.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
development,binary,ABSTAIN,reranked_count,50,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
development,binary,ABSTAIN,top1_score,50,0.100475,0.19371,0.000232,0.004789,0.011899,0.026426,0.069922,0.253091,0.498325,0.986681
development,binary,ABSTAIN,top2_score,50,0.056037,0.125182,0.00015,0.002621,0.005964,0.015385,0.054271,0.127343,0.223463,0.824916
development,binary,ABSTAIN,top3_score,50,0.030678,0.068918,0.000122,0.001311,0.004067,0.008146,0.020154,0.085263,0.107439,0.457318
development,binary,ABSTAIN,top1_top2_margin,50,0.044437,0.098231,1.3e-05,0.000838,0.002107,0.006849,0.026797,0.147736,0.236411,0.570811
development,binary,ABSTAIN,top1_top3_margin,50,0.069796,0.139649,0.000109,0.001395,0.006326,0.01803,0.040281,0.172817,0.379478,0.675277
development,binary,ABSTAIN,mean_top3_score,50,0.062397,0.125267,0.00017,0.002992,0.007891,0.018025,0.045981,0.142171,0.293029,0.756305
development,binary,ABSTAIN,mean_top5_score,50,0.044613,0.095153,0.000121,0.002172,0.005747,0.012622,0.032761,0.10593,0.189217,0.605639
development,binary,ABSTAIN,min_top5_score,50,0.015808,0.052236,3.2e-05,0.000319,0.001237,0.002681,0.009483,0.02726,0.05318,0.367019
development,binary,ABSTAIN,max_top5_score,50,0.100475,0.19371,0.000232,0.004789,0.011899,0.026426,0.069922,0.253091,0.498325,0.986681
development,binary,ABSTAIN,std_top5_score,50,0.032476,0.060352,7e-05,0.001047,0.00373,0.008733,0.024235,0.076319,0.175707,0.26834
development,binary,ABSTAIN,distinct_source_count_top5,50,3.3,0.9,2.0,2.0,3.0,3.0,4.0,4.1,5.0,5.0
development,binary,ABSTAIN,distinct_document_count_top5,50,3.3,0.9,2.0,2.0,3.0,3.0,4.0,4.1,5.0,5.0
development,binary,ABSTAIN,duplicate_source_chunk_count_top5,50,1.7,0.9,0.0,0.9,1.0,2.0,2.0,3.0,3.0,3.0
development,binary,ABSTAIN,source_score_concentration,50,0.457581,0.125709,0.263128,0.30427,0.371426,0.43973,0.522046,0.63607,0.70048,0.782456
development,original,answerable,authorized_candidate_count,150,20.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
development,original,answerable,reranked_count,150,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
development,original,answerable,top1_score,150,0.56645,0.34804,0.001436,0.06038,0.201096,0.601919,0.918894,0.969032,0.980406,0.993406
development,original,answerable,top2_score,150,0.361413,0.320294,7.5e-05,0.02312,0.079295,0.25293,0.65425,0.854835,0.908875,0.974864
development,original,answerable,top3_score,150,0.235328,0.282808,5.9e-05,0.00641,0.021752,0.08524,0.374879,0.745107,0.824242,0.948281
development,original,answerable,top1_top2_margin,150,0.205037,0.21352,1e-05,0.006707,0.049432,0.126917,0.300638,0.508652,0.722792,0.874807
development,original,answerable,top1_top3_margin,150,0.331122,0.27134,0.000615,0.037621,0.101666,0.271911,0.537015,0.745844,0.831758,0.923177
development,original,answerable,mean_top3_score,150,0.38773,0.291973,0.001057,0.031731,0.130647,0.333044,0.651079,0.848806,0.874578,0.954148
development,original,answerable,mean_top5_score,150,0.275215,0.225177,0.000841,0.022394,0.084653,0.225768,0.441704,0.621271,0.676966,0.85357
development,original,answerable,min_top5_score,150,0.085637,0.157767,5.1e-05,0.001445,0.003805,0.018158,0.071896,0.250401,0.462123,0.757174
development,original,answerable,max_top5_score,150,0.56645,0.34804,0.001436,0.06038,0.201096,0.601919,0.918894,0.969032,0.980406,0.993406
development,original,answerable,std_top5_score,150,0.188968,0.129031,0.000352,0.020822,0.067103,0.167905,0.320054,0.361181,0.380401,0.460541
development,original,answerable,distinct_source_count_top5,150,3.066667,1.056199,1.0,2.0,2.0,3.0,4.0,4.1,5.0,5.0
development,original,answerable,distinct_document_count_top5,150,3.066667,1.056199,1.0,2.0,2.0,3.0,4.0,4.1,5.0,5.0
development,original,answerable,duplicate_source_chunk_count_top5,150,1.933333,1.056199,0.0,0.9,1.0,2.0,3.0,3.0,3.0,4.0
development,original,answerable,source_score_concentration,150,0.496741,0.175809,0.217362,0.299143,0.345654,0.484823,0.605799,0.740405,0.800519,0.999715
development,original,unanswerable,authorized_candidate_count,38,20.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
development,original,unanswerable,reranked_count,38,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
development,original,unanswerable,top1_score,38,0.052064,0.094181,0.000232,0.001383,0.011181,0.021606,0.032081,0.144322,0.215773,0.512337
development,original,unanswerable,top2_score,38,0.029806,0.04974,0.00015,0.000363,0.005416,0.012892,0.022326,0.080504,0.102053,0.270589
development,original,unanswerable,top3_score,38,0.019179,0.030294,0.000122,0.000268,0.003908,0.006911,0.015525,0.060799,0.090535,0.126536
development,original,unanswerable,top1_top2_margin,38,0.022258,0.048004,1.3e-05,0.000655,0.001499,0.006092,0.016508,0.048804,0.123031,0.241748
development,original,unanswerable,top1_top3_margin,38,0.032885,0.068621,0.000109,0.001121,0.004583,0.011042,0.02444,0.074933,0.144182,0.385802
development,original,unanswerable,mean_top3_score,38,0.033683,0.056949,0.00017,0.000636,0.007363,0.013918,0.022023,0.099621,0.13102,0.303154
development,original,unanswerable,mean_top5_score,38,0.023412,0.038183,0.000121,0.000472,0.005217,0.009289,0.015457,0.068977,0.095729,0.193525
development,original,unanswerable,min_top5_score,38,0.006123,0.009761,3.2e-05,0.000202,0.00126,0.002443,0.00594,0.016561,0.020129,0.052455
development,original,unanswerable,max_top5_score,38,0.052064,0.094181,0.000232,0.001383,0.011181,0.021606,0.032081,0.144322,0.215773,0.512337
development,original,unanswerable,std_top5_score,38,0.017215,0.03231,7e-05,0.000456,0.003636,0.007098,0.011519,0.046161,0.06801,0.182303
development,original,unanswerable,distinct_source_count_top5,38,3.184211,0.789912,2.0,2.0,3.0,3.0,4.0,4.0,4.15,5.0
development,original,unanswerable,distinct_document_count_top5,38,3.184211,0.789912,2.0,2.0,3.0,3.0,4.0,4.0,4.15,5.0
development,original,unanswerable,duplicate_source_chunk_count_top5,38,1.815789,0.789912,0.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0
development,original,unanswerable,source_score_concentration,38,0.44121,0.113185,0.263128,0.298247,0.366304,0.439486,0.48526,0.584521,0.636858,0.782456
development,original,ambiguous,authorized_candidate_count,12,20.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
development,original,ambiguous,reranked_count,12,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
development,original,ambiguous,top1_score,12,0.253775,0.311988,0.005153,0.032101,0.041982,0.068211,0.37115,0.732333,0.862137,0.986681
