feature_a,feature_b,correlation
top1_score,mean_top3_score,0.913566
top1_score,max_top5_score,1.0
top1_score,std_top5_score,0.92685
top1_score,score_range_top5,0.934783
top1_score,source_top1_score,1.0
top2_score,mean_top3_score,0.961006
top2_score,mean_top5_score,0.948832
top3_score,mean_top5_score,0.921452
mean_top3_score,mean_top5_score,0.981318
mean_top3_score,max_top5_score,0.913566
mean_top3_score,source_top1_score,0.913566
mean_top3_score,source_mean_score,0.936782
mean_top5_score,source_mean_score,0.915032
max_top5_score,std_top5_score,0.92685
max_top5_score,score_range_top5,0.934783
max_top5_score,source_top1_score,1.0
std_top5_score,score_range_top5,0.992904
std_top5_score,source_top1_score,0.92685
distinct_source_count_top5,distinct_document_count_top5,1.0
distinct_source_count_top5,duplicate_source_chunk_count_top5,-0.994519
distinct_source_count_top5,unique_source_ratio_top5,0.994519
distinct_source_count_top5,duplicate_source_ratio_top5,-0.994519
distinct_source_count_top5,max_chunks_from_same_source,-0.924798
distinct_source_count_top5,top_source_chunk_share,-0.927669
distinct_source_count_top5,source_count,1.0
distinct_document_count_top5,duplicate_source_chunk_count_top5,-0.994519
distinct_document_count_top5,unique_source_ratio_top5,0.994519
distinct_document_count_top5,duplicate_source_ratio_top5,-0.994519
distinct_document_count_top5,max_chunks_from_same_source,-0.924798
distinct_document_count_top5,top_source_chunk_share,-0.927669
distinct_document_count_top5,source_count,1.0
duplicate_source_chunk_count_top5,unique_source_ratio_top5,-1.0
duplicate_source_chunk_count_top5,duplicate_source_ratio_top5,1.0
duplicate_source_chunk_count_top5,max_chunks_from_same_source,0.930299
duplicate_source_chunk_count_top5,top_source_chunk_share,0.929262
duplicate_source_chunk_count_top5,source_count,-0.994519
source_score_concentration,score_decay_1_2,0.904742
source_score_concentration,top1_to_mean_top5_ratio,0.99342
score_decay_1_2,top1_to_mean_top5_ratio,0.901494
score_range_top5,source_top1_score,0.934783
unique_source_ratio_top5,duplicate_source_ratio_top5,-1.0
unique_source_ratio_top5,max_chunks_from_same_source,-0.930299
unique_source_ratio_top5,top_source_chunk_share,-0.929262
unique_source_ratio_top5,source_count,0.994519
duplicate_source_ratio_top5,max_chunks_from_same_source,0.930299
duplicate_source_ratio_top5,top_source_chunk_share,0.929262
duplicate_source_ratio_top5,source_count,-0.994519
max_chunks_from_same_source,top_source_chunk_share,0.999302
max_chunks_from_same_source,source_count,-0.924798
top_source_chunk_share,source_count,-0.927669
