feature,direction,dev_auroc,cal_auroc,auroc_delta,dev_auprc,cal_auprc,auprc_delta,stable
top2_score,lower_is_abstain,0.853867,0.838803,-0.015063,0.601685,0.711428,0.109743,True
mean_top5_score,lower_is_abstain,0.8752,0.826755,-0.048445,0.673024,0.569895,-0.103129,True
score_iqr_top5,lower_is_abstain,0.840267,0.826755,-0.013511,0.60188,0.685005,0.083124,True
mean_top3_score,lower_is_abstain,0.878,0.825093,-0.052907,0.674217,0.568201,-0.106015,True
top3_score,lower_is_abstain,0.802933,0.806813,0.00388,0.521633,0.658648,0.137015,True
source_mean_score,lower_is_abstain,0.882667,0.801413,-0.081254,0.693508,0.500089,-0.193419,True
max_top5_score,lower_is_abstain,0.879133,0.798504,-0.080629,0.678861,0.512521,-0.166339,True
source_top1_score,lower_is_abstain,0.879133,0.798504,-0.080629,0.678861,0.512521,-0.166339,True
top1_score,lower_is_abstain,0.879133,0.798504,-0.080629,0.678861,0.512521,-0.166339,True
score_range_top5,lower_is_abstain,0.88,0.7715,-0.1085,0.678043,0.481072,-0.196971,False
std_top5_score,lower_is_abstain,0.879467,0.766099,-0.113368,0.676772,0.471994,-0.204778,False
min_top5_score,lower_is_abstain,0.745733,0.756128,0.010395,0.488405,0.630892,0.142488,True
top2_to_mean_top5_ratio,lower_is_abstain,0.5,0.743249,0.243249,0.253079,0.602719,0.34964,False
top1_top3_margin,lower_is_abstain,0.855733,0.704196,-0.151537,0.653553,0.408568,-0.244985,False
source_score_entropy,lower_is_abstain,0.5624,0.691525,0.129125,0.259697,0.403001,0.143304,False
top1_top2_margin,lower_is_abstain,0.823733,0.611134,-0.212599,0.574243,0.353895,-0.220348,False
source_rank_entropy,lower_is_abstain,0.548933,0.559202,0.010269,0.273465,0.297024,0.023559,True
reranked_count,higher_is_abstain,0.5,0.506024,0.006024,0.25,0.261261,0.011261,True
authorized_candidate_count,higher_is_abstain,0.5,0.459285,-0.040715,0.25,0.238498,-0.011502,True
max_chunks_from_same_source,lower_is_abstain,0.519467,0.400291,-0.119176,0.257095,0.226023,-0.031072,False
top_source_chunk_share,lower_is_abstain,0.519467,0.400291,-0.119176,0.257095,0.226023,-0.031072,False
distinct_document_count_top5,higher_is_abstain,0.565333,0.384711,-0.180622,0.27501,0.220116,-0.054894,False
distinct_source_count_top5,higher_is_abstain,0.565333,0.384711,-0.180622,0.27501,0.220116,-0.054894,False
source_count,higher_is_abstain,0.565333,0.384711,-0.180622,0.27501,0.220116,-0.054894,False
duplicate_source_chunk_count_top5,lower_is_abstain,0.565333,0.380764,-0.184569,0.27501,0.219233,-0.055777,False
duplicate_source_ratio_top5,lower_is_abstain,0.565333,0.380764,-0.184569,0.27501,0.219233,-0.055777,False
unique_source_ratio_top5,higher_is_abstain,0.565333,0.380764,-0.184569,0.27501,0.219233,-0.055777,False
score_decay_1_3,lower_is_abstain,0.550933,0.279186,-0.271748,0.252096,0.182111,-0.069985,False
top1_to_median_top5_ratio,lower_is_abstain,0.550933,0.276278,-0.274656,0.252096,0.181564,-0.070532,False
source_score_concentration,lower_is_abstain,0.555467,0.256336,-0.299131,0.261434,0.18064,-0.080794,False
score_decay_1_2,lower_is_abstain,0.5102,0.248442,-0.261758,0.25089,0.212199,-0.038691,False
top1_to_mean_top5_ratio,lower_is_abstain,0.5556,0.248442,-0.307158,0.26165,0.179287,-0.082363,False
